Handle,ObjType,TextString,Layer,TextHeight
BC4EE7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995439999999993
BC4EED,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995439999999993
BC4F56,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.992704000000051
BC4F60,MText,"Theor. N.W.1/4\PSec. 20-64-2-W.6M.",C-SYMBOL,19.990879999999986
BC4F62,MText,"Theor. S.W.1/4\PSec. 29-64-2-W.6M.",C-SYMBOL,19.990879999999986
BC4F7A,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Key Wildlife and Biodiversity Zone Boundary}",AS-WILDLIFE,9.995439999999993
BC506E,MText,"\pxqr;L.S. 4",L-SECTION-LSD,9.995439999999993
BC5070,MText,"\pxqr;L.S. 5",L-SECTION-LSD,9.995439999999993
BC513D,MText,"\pxqc;Intermittent\PCreek",T-WATER-T,9.995460000000014
BC545F,DBText,"129.77",L-BD1,9.995439999999993
BC5460,DBText,"60.68",L-BD1,9.995439999999993
BC5462,DBText,"235.42",L-BD1,9.995439999999993
BC5463,DBText,"320°25'05"",L-BD1,9.995439999999993
BC5464,DBText,"199.82",L-BD1,9.995439999999993
BC5465,DBText,"56°45'25''",L-BD1,9.995439999999993
BC5466,DBText,"140°25'05"",L-BD1,9.995439999999993
BC5467,DBText,"257.46",L-BD1,9.995439999999993
BC5468,DBText,"92.03 (Tie)",L-BD1,9.995439999999993
BC5469,DBText,"322°03'10"",L-BD1,9.995439999999993
BC546A,DBText,"14.68",L-BD1,9.995439999999993
BC546B,DBText,"50°25'05''",L-BD,9.995439999999993
BC546C,DBText,"198.60",L-BD,9.995439999999993
BC5470,DBText,"74.14",L-BD,9.995439999999993
BC5471,DBText,"34.35",L-BD,9.995439999999993
BC5472,DBText,"320°25'05''",L-BD,9.995439999999993
BC5473,DBText,"299.04",L-BD,9.995439999999993
BC5474,DBText,"836.80",L-BD,9.995439999999993
BC5475,DBText,"320°24'20''",L-BD,9.995439999999993
BC5476,MText,"\pxql;L.S. 3",L-SECTION-LSD,9.995439999999993
BC5478,MText,"\pxql;L.S. 6",L-SECTION-LSD,9.995439999999993
BC5480,MText,"100m",AUX-BUFFER,9.995439999999993
BC5482,MText,"200m",AUX-BUFFER,9.995439999999993
BC5489,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;8m Medium Grade Dirt Road}",AS-GENERAL,9.995439999999993
BC5490,MText,"\pxqc;CNRL\PRiser Site\PPIL 050403",F-WS-T,9.995439999999991
BC5494,MText,"\pxqc;SEE PAD SITE DETAIL",L-DETAIL-T,15.992703999999994
BC5497,DBText,"197",T-TIE-T,9.995439999999993
BC5499,MText,"{\fArial Narrow|b0|i1|c0|p34;Ridge}",T-SLOPE,9.995439999999993
BC549A,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;8m Medium Grade Dirt Road}",AS-GENERAL,9.995439999999993
BC549C,MText,"\pxqc;57°07'15'' 633.15 (Tie)",L-BD,9.995439999999993
BC54B3,MText,"\pxqr;Fd. no Mk.\PRe-est. Position\Pby LOC 000631",L-MON,9.995439999999993
BC54E3,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Key Wildlife and Biodiversity Zone Boundary}",AS-WILDLIFE,9.995439999999993
BC54EE,MText,"Fd.I.\PMp.",L-MON,9.995460000000012
BC54EF,MText,"Fd.I.",L-MON,9.995460000000012
BC563D,MText,"100m",AUX-BUFFER,9.995439999999993
BC5641,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;8m Medium Grade Dirt Road}",AS-GENERAL,9.995439999999993
BC5642,MText,"Fd.I.\PMp.",L-MON,9.999999999999996
BC5648,MText,"Fd.I.",L-MON,9.995460000000012
BC5649,MText,"\pxqc;CNRL\PRiser Site\PPIL 050403",F-WS-T,9.995439999999993
BC564E,MText,"{\fArial Narrow|b0|i1|c0|p34;Ridge}",T-SLOPE,9.995439999999993
